FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
16	6	0.1389	29.78	43.28	1.96	3.22	5.67
18	6	0.1434	30.59	40.54	1.88	3.13	5.6
20	6	0.1479	31.39	37.68	1.79	3.04	5.53
25	6	0.1626	33.26	30.09	1.56	2.81	5.33
30	6	0.1796	35.19	21.54	1.3	2.53	5.09
35	6	0.1994	37.23	12.4	1.03	2.25	4.85
40	6	0.2191	39.21	3.05	0.75	1.96	4.59
45	6	0.2347	40.97	0	0.52	1.71	4.38
50	6	0.2454	42.17	0	0.39	1.56	4.26
55	6	0.2509	42.96	0	0.3	1.46	4.17
60	6	0.2543	43.75	0	0.23	1.37	4.1
5	8	0.1101	23.94	55.9	2.32	3.5	5.67
6	8	0.1208	26.07	52.31	2.19	3.37	5.57
7	8	0.1226	26.46	51.25	2.15	3.34	5.55
8	8	0.1244	26.85	50.17	2.12	3.3	5.52
9	8	0.1263	27.24	49.04	2.09	3.26	5.5
10	8	0.1282	27.65	47.88	2.05	3.22	5.47
12	8	0.1323	28.47	45.44	1.98	3.14	5.41
14	8	0.1368	29.32	42.83	1.9	3.05	5.34
16	8	0.1415	30.18	40.07	1.81	2.96	5.27
18	8	0.1462	31.01	37.21	1.72	2.86	5.2
20	8	0.151	31.82	34.23	1.63	2.76	5.12
25	8	0.1662	33.7	26.39	1.39	2.51	4.9
30	8	0.1848	35.8	17.47	1.1	2.21	4.64
35	8	0.2033	37.73	8.42	0.84	1.93	4.39
40	8	0.2216	39.68	0.78	0.56	1.64	4.14
45	8	0.2332	41.19	0	0.38	1.43	3.96
50	8	0.2418	42.29	0	0.27	1.3	3.86
55	8	0.2459	43.06	0	0.19	1.21	3.78
60	8	0.25	43.9	0	0.12	1.11	3.7
5	10	0.1149	24.89	52.82	2.18	3.26	5.3
6	10	0.1216	26.23	49.9	2.08	3.15	5.22
7	10	0.1236	26.65	48.74	2.04	3.11	5.19
8	10	0.1256	27.06	47.58	2.01	3.07	5.16
9	10	0.1276	27.49	46.38	1.97	3.03	5.13
10	10	0.1298	27.92	45.14	1.93	2.99	5.1
12	10	0.1342	28.78	42.54	1.85	2.89	5.03
14	10	0.139	29.67	39.78	1.76	2.8	4.96
16	10	0.1441	30.57	36.88	1.67	2.69	4.88
18	10	0.1489	31.39	33.93	1.57	2.59	4.8
20	10	0.154	32.17	30.9	1.48	2.49	4.71
25	10	0.1696	34.13	22.73	1.21	2.21	4.47
30	10	0.1878	36.22	13.71	0.93	1.91	4.2
35	10	0.2062	38.18	4.52	0.65	1.61	3.94
40	10	0.2231	40.09	0	0.4	1.33	3.7
45	10	0.2337	41.55	0	0.25	1.16	3.55
50	10	0.2391	42.42	0	0.16	1.05	3.46
55	10	0.2434	43.01	0	0.1	0.97	3.39
60	10	0.25	42.95	0	0.1	0.94	3.38
5	12	0.1188	25.65	49.46	2.03	3.01	4.92
6	12	0.1226	26.41	47.43	1.97	2.93	4.87
7	12	0.1246	26.84	46.23	1.93	2.89	4.84
8	12	0.1268	27.29	44.99	1.89	2.84	4.8
9	12	0.1289	27.73	43.73	1.85	2.8	4.77
10	12	0.1313	28.18	42.39	1.8	2.75	4.73
12	12	0.1361	29.1	39.66	1.71	2.65	4.65
14	12	0.1412	30.02	36.75	1.62	2.54	4.57
16	12	0.1466	30.93	33.7	1.52	2.43	4.48
18	12	0.1518	31.77	30.63	1.42	2.32	4.39
20	12	0.1572	32.55	27.49	1.31	2.21	4.3
25	12	0.1731	34.57	19.07	1.03	1.91	4.03
30	12	0.1894	36.53	10.06	0.75	1.61	3.77
35	12	0.2099	38.69	1.41	0.46	1.29	3.49
40	12	0.2275	40.85	0	0.23	1.03	3.26
45	12	0.235	41.82	0	0.13	0.9	3.16
50	12	0.2337	41.92	0	0.11	0.86	3.12
55	12	0.2414	41.85	0	0.11	0.83	3.1
60	12	0.2508	41.79	0	0.1	0.8	3.08
